InvoiceDate,Sales
2005-09-18,1024.8357076505617
2005-09-19,1180.8172356099267
2005-09-20,1289.1386668559599
2005-09-21,1253.2220615902802
2005-09-22,1017.6137254865519
2005-09-23,931.7607017508969
2005-09-24,1079.3675765615606
2005-09-25,1209.0112586327534
2005-09-26,1312.7087686205489
2005-09-27,1406.3726503724165
2005-09-28,1247.7216853291661
2005-09-29,1069.654656960903
2005-09-30,988.6769485706168
2005-10-01,908.2686510314013
2005-10-02,1060.4341097801744
2005-10-03,1259.7984410715023
2005-10-04,1260.1241887865074
2005-10-05,1202.7547668659631
2005-10-06,953.6732531821887
2005-10-07,807.7098754887513
2005-10-08,980.2250451555647
2005-10-09,1045.0836123125896
2005-10-10,1212.6084499367148
2005-10-11,1176.7234303658906
2005-10-12,1116.2585810286253
2005-10-13,982.6258550225011
2005-10-14,821.5419799047976
2005-10-15,949.255435488806
2005-10-16,1071.4383722630855
2005-10-17,1258.9854537801145
2005-10-18,1298.0894833371196
2005-10-19,1327.9323969900347
2005-10-20,1074.9281172957092
2005-10-21,925.9930832057111
2005-10-22,1066.9976642986426
2005-10-23,1125.8114904348586
2005-10-24,1354.0254208507
2005-10-25,1279.9941745791393
2005-10-26,1194.4019025297423
2005-10-27,1083.4535092887563
2005-10-28,984.2238697001114
2005-10-29,972.3522787770786
2005-10-30,1088.7824540548806
2005-10-31,1207.5698445195983
2005-11-01,1157.132740446741
2005-11-02,1055.7126688206145
2005-11-03,863.9743189334278
2005-11-04,801.4680589027997
2005-11-05,776.1060126441995
2005-11-06,801.5540938543527
2005-11-07,1040.1406346603158
2005-11-08,1025.2005359304133
2005-11-09,888.7524534907367
2005-11-10,770.671231115444
2005-11-11,679.2047119152519
2005-11-12,713.2002993624697
2005-11-13,785.6586714854545
2005-11-14,976.8977284448497
2005-11-15,1059.025290484101
2005-11-16,996.8685270722295
2005-11-17,765.9315716056765
2005-11-18,688.3838867879476
2005-11-19,696.7029108807418
2005-11-20,863.2091005645132
2005-11-21,1132.7716092347137
2005-11-22,1208.797373338062
2005-11-23,1036.3315351467984
